"","cp","Accuracy_train","Kappa_train","AccuracySD_train","KappaSD_train","Accuracy_test","AccuracyPValue_test","Kappa_test","PC","date","alt","k","repetitions","CV","split"
"806",0.001,0.338090909,0.169415609,0.121957691,0.151757466,0.333333333,0.606925322,0.20661157,3,"03/05/2022","50m",5,10,"cv510","8020split"
"807",0.001,0.276360067,0.095791179,0.094963593,0.118787993,0.291666667,0.392587662,0.12633833,0,"19/01/2022","15-30m",5,10,"cv510","8020split"
"808",0.001,0.270458155,0.088892823,0.102071974,0.127501391,0.375,0.121318284,0.222462203,4,"19/01/2022","15-30m",5,10,"cv510","8020split"
"809",0.001,0.369207071,0.209359679,0.099378329,0.131757551,0.333333333,0.351221383,0.186440678,0,"19/01/2022","30m",5,10,"cv510","8020split"
"810",0.001,0.305409091,0.123254647,0.110068406,0.137791218,0.416666667,0.157643676,0.294117647,4,"19/01/2022","30m",5,10,"cv510","8020split"
"811",0.001,0.360338384,0.186688779,0.175589719,0.218055037,0.583333333,0.189264302,0.449541284,0,"19/01/2022","15m",5,10,"cv510","8020split"
"812",0.001,0.419782828,0.259652095,0.142917507,0.17999034,0.583333333,0.189264302,0.449541284,4,"19/01/2022","15m",5,10,"cv510","8020split"
"813",0.001,0.679550543,0.598781796,0.101779734,0.127471765,0.708333333,2.93e-05,0.625,0,"09/03/2022","15-30m",5,10,"cv510","8020split"
"814",0.001,0.657272348,0.570419427,0.091934459,0.114950568,0.666666667,0.000157148,0.575221239,3,"09/03/2022","15-30m",5,10,"cv510","8020split"
"815",0.001,0.639414141,0.536109706,0.059843512,0.075252752,0.416666667,0.806152344,0.34375,0,"09/03/2022","15m",5,10,"cv510","8020split"
"816",0.001,0.627383838,0.521452747,0.083185328,0.102321094,0.333333333,0.927001953,0.255813953,3,"09/03/2022","15m",5,10,"cv510","8020split"
"817",0.001,0.580222222,0.471275412,0.081008073,0.100574793,0.5,0.177722456,0.4,0,"09/03/2022","30m",5,10,"cv510","8020split"
"818",0.001,0.580444444,0.47,0.074841228,0.092573575,0.5,0.177722456,0.4,2,"09/03/2022","30m",5,10,"cv510","8020split"
"819",0.001,0.281859307,0.091200966,0.095052885,0.111595358,0.166666667,0.84161824,-0.025641026,0,"02/06/2022","50m",5,10,"cv510","8020split"
"820",0.001,0.219429293,0.022404103,0.115228978,0.139837563,0.333333333,0.351221383,0.111111111,2,"02/06/2022","50m",5,10,"cv510","8020split"
"821",0.001,0.559419192,0.454232274,0.073350924,0.088046982,0.583333333,0.06644764,0.482758621,0,"22/03/2022","50m",5,10,"cv510","8020split"
"822",0.001,0.541333333,0.432144697,0.072057217,0.078506208,0.5,0.177722456,0.368421053,2,"22/03/2022","50m",5,10,"cv510","8020split"
"823",0.001,0.54419697,0.427736246,0.10645171,0.129186854,0.416666667,0.157643676,0.282051282,0,"19/04/2022","50m",5,10,"cv510","8020split"
"824",0.001,0.437868687,0.291464996,0.097605381,0.116253658,0.333333333,0.351221383,0.186440678,3,"19/04/2022","50m",5,10,"cv510","8020split"
"825",0.001,0.580459596,0.466496597,0.096426458,0.120150172,0.75,0.000391662,0.684210526,0,"05/04/2022","50m",5,10,"cv510","8020split"
"826",0.001,0.60744733,0.501594419,0.075329078,0.090111547,0.75,0.000391662,0.684210526,4,"05/04/2022","50m",5,10,"cv510","8020split"
"827",0.001,0.260689914,0.06908219,0.078247414,0.096592283,0.277777778,0.889587248,0.064,0,"26/05/2022","15-30-50m",5,10,"cv510","8020split"
"828",0.001,0.264619654,0.074421382,0.093302916,0.11404316,0.277777778,0.889587248,0.106870229,3,"26/05/2022","15-30-50m",5,10,"cv510","8020split"
