date,alt,PC,mtry,OOB,X35,X70,X140,X280,X560,Accuracy_test,AccuracyPValue_test,Kappa_test
19/01/2022,30m,4,2,0.645833333,0.6,0.777777778,0.625,0.9,0.363636364,0.5,0.177722456,0.339449541
19/01/2022,30m,4,2,0.645833333,0.7,0.888888889,0.545454545,1,0.2,0.333333333,0.606925322,0.20661157
19/01/2022,30m,4,2,0.75,1,1,0.857142857,0.636363636,0.363636364,0.25,0.932866946,0.068965517
19/01/2022,30m,4,2,0.6875,0.818181818,0.777777778,0.75,0.727272727,0.333333333,0.416666667,0.368479286,0.282051282
19/01/2022,30m,4,2,0.625,1,0.636363636,0.6,0.8,0.2,0.416666667,0.608374247,0.322580645
19/01/2022,30m,4,2,0.541666667,1,0.7,0.272727273,0.7,0.111111111,0.416666667,0.368479286,0.269565217
03/02/2022,30m,4,2,0.75,0.777777778,0.8,0.9,0.75,0.428571429,0.5,0.379768823,0.362831858
03/02/2022,30m,4,2,0.645833333,0.8,0.7,0.777777778,0.7,0.222222222,0.25,0.609324992,0.060869565
03/02/2022,30m,4,2,0.645833333,0.625,0.888888889,0.777777778,0.666666667,0.3,0.333333333,0.606925322,0.127272727
03/02/2022,30m,4,2,0.6875,0.727272727,1,0.636363636,0.888888889,0.222222222,0.416666667,0.368479286,0.288135593
03/02/2022,30m,4,2,0.729166667,0.8,0.9,0.888888889,0.875,0.272727273,0.333333333,0.606925322,0.165217391
03/02/2022,30m,4,2,0.708333333,0.888888889,1,0.636363636,0.727272727,0.4,0.333333333,0.808403993,0.213114754
03/02/2022,30m,4,2,0.729166667,0.8,0.8,1,0.8,0.3,0.333333333,0.606925322,0.157894737
03/02/2022,30m,4,2,0.666666667,0.777777778,1,0.7,0.777777778,0.181818182,0.166666667,0.84161824,-0.052631579
03/02/2022,30m,4,2,0.604166667,0.875,0.777777778,0.7,0.6,0.181818182,0.166666667,0.946048574,0.016393443
05/04/2022,50m,4,2,0.25,0,0.083333333,0.125,0.625,0.5,0.666666667,0.018758432,0.563636364
05/04/2022,50m,4,2,0.270833333,0,0,0,0.875,0.6,0.833333333,0.000543804,0.777777778
05/04/2022,50m,4,2,0.291666667,0,0.1,0,0.7,0.75,0.75,0.003855555,0.689655172
05/04/2022,50m,4,2,0.291666667,0,0,0,0.888888889,0.666666667,0.583333333,0.014252782,0.464285714
05/04/2022,50m,4,2,0.1875,0,0,0.1,0.555555556,0.375,0.583333333,0.06644764,0.459459459
05/04/2022,50m,4,2,0.3125,0,0.1,0.1,0.777777778,0.666666667,0.666666667,0.00278151,0.582608696
05/04/2022,50m,4,2,0.333333333,0,0,0,0.9,0.7,0.833333333,0.000543804,0.769230769
26/05/2022,15-30-50m,0,4,0.680555556,0.68,0.714285714,0.548387097,0.714285714,0.75,0.083333333,0.99972371,-0.141210375
26/05/2022,15-30-50m,0,4,0.666666667,0.586206897,0.777777778,0.5625,0.862068966,0.555555556,0.166666667,0.916533452,-0.041465767
26/05/2022,15-30-50m,0,4,0.743055556,0.615384615,0.833333333,0.65625,0.862068966,0.740740741,0.277777778,0.562939325,0.090379009
26/05/2022,15-30-50m,0,4,0.652777778,0.344827586,0.777777778,0.580645161,0.75,0.84,0.166666667,0.98174354,-0.013133208
26/05/2022,15-30-50m,0,4,0.652777778,0.4,0.714285714,0.592592593,0.766666667,0.793103448,0.166666667,0.916533452,-0.038461538
26/05/2022,15-30-50m,0,4,0.763888889,0.5625,0.925925926,0.740740741,0.833333333,0.785714286,0.333333333,0.167065958,0.167630058
26/05/2022,15-30-50m,0,4,0.75,0.580645161,0.888888889,0.566666667,0.862068966,0.888888889,0.305555556,0.27486265,0.12875121
26/05/2022,15-30-50m,0,4,0.763888889,0.633333333,0.857142857,0.65625,0.857142857,0.846153846,0.305555556,0.415853741,0.150943396
26/05/2022,15-30-50m,0,4,0.708333333,0.612903226,0.916666667,0.545454545,0.958333333,0.625,0.305555556,0.696685168,0.132111861
