"","cp","Accuracy","Kappa","AccuracySD","KappaSD","date","alt","PC","k","repetitions"
"319",0.001,0.175142857142857,-0.0262228951386048,0.150692316778103,0.184324413085877,"2022-06-02","50m",0,10,10
"320",0.001,0.173638888888889,-0.0320445636606887,0.12368196541435,0.156959448181146,"2022-06-02","50m",2,10,10
"321",0.001,0.23377380952381,0.0437406516952816,0.142386455527388,0.169102205311217,"2022-05-26","15m",0,10,10
"322",0.001,0.148765873015873,-0.05408280081276,0.115918140621776,0.144894901205192,"2022-05-26","15m",3,10,10
"323",0.001,0.326039682539683,0.155565897340795,0.197231313599235,0.244507338446172,"2022-05-26","50m",0,10,10
"324",0.001,0.172075396825397,-0.0263789302768738,0.14211067349966,0.168326825203137,"2022-05-26","50m",3,10,10
"325",0.001,0.14277380952381,-0.0610366398021409,0.136879010795228,0.166644619352426,"2022-05-26","30m",0,10,10
"326",0.001,0.232134920634921,0.0443473151595929,0.136997590016481,0.165450562716395,"2022-05-26","30m",3,10,10
"327",0.001,0.20702380952381,0.0156364471178778,0.138581860186639,0.165754548284298,"2022-05-26","15-30-50m",0,10,10
"328",0.001,0.232134920634921,0.0443473151595929,0.136997590016481,0.165450562716395,"2022-05-26","15-30-50m",5,10,10
"329",0.001,0.865738095238095,0.829817974669144,0.109724206005097,0.138977186459338,"2022-03-22","50m",0,10,10
"330",0.001,0.841333333333333,0.798888693853656,0.1297907593762,0.164594916382514,"2022-03-22","50m",2,10,10
"331",0.001,0.670944444444444,0.588885435677322,0.12241087946019,0.151219647518807,"2022-04-19","50m",0,10,10
"332",0.001,0.467464285714286,0.332717843086664,0.170023911503156,0.208455932692462,"2022-04-19","50m",3,10,10
"333",0.001,0.790884920634921,0.735819738652096,0.120051860377125,0.149300372956383,"2022-04-05","50m",0,10,10
"334",0.001,0.736452380952381,0.666606669200627,0.13067592708776,0.16435023488058,"2022-04-05","50m",4,10,10
"335",0.001,0.373694444444444,0.21572442196911,0.132712939429145,0.164111681700288,"2022-05-03","50m",0,10,10
"336",0.001,0.425686507936508,0.275635199439833,0.205171385531461,0.260971178024086,"2022-05-03","50m",3,10,10
"337",0.001,0.655154761904762,0.568547765127288,0.136666622148976,0.166818770408367,"2022-02-14","15m",0,10,10
"338",0.001,0.602337301587302,0.49927953939442,0.193465375915581,0.240361792477406,"2022-02-14","15m",3,10,10
"339",0.001,0.59731746031746,0.49340853045128,0.175982110106793,0.223532505125545,"2022-02-14","30m",0,10,10
"340",0.001,0.308988095238095,0.13852781445533,0.162893661660138,0.200709085643161,"2022-02-14","30m",3,10,10
"341",0.001,0.486833333333333,0.355991185545123,0.166327286222517,0.203534623038268,"2022-02-14","15-30m",0,10,10
"342",0.001,0.308988095238095,0.13852781445533,0.162893661660138,0.200709085643161,"2022-02-14","15-30m",4,10,10
"343",0.001,0.354488095238095,0.194960217024785,0.156296811398683,0.188178811387926,"2022-01-19","30m",0,10,10
"344",0.001,0.33968253968254,0.174966931541362,0.155424206602298,0.196768036434458,"2022-01-19","30m",4,10,10
