"","mincriterion","Accuracy","Kappa","AccuracySD","KappaSD","date","alt","PC"
"178",0.05,0.301772061272061,0.126424205163532,0.125758823695012,0.154207076052617,"2022-01-19","15-30m",4
"179",0.05,0.384619047619048,0.230011500416852,0.165478628334771,0.201429890559106,"2022-01-19","30m",0
"180",0.05,0.373416666666667,0.218335699595157,0.15406994222743,0.190815778614905,"2022-01-19","30m",4
"181",0.05,0.289845238095238,0.11464231547968,0.129957682579064,0.159677586167513,"2022-01-19","15m",0
"182",0.05,0.442654761904762,0.302465927694353,0.188746737272424,0.231155164107626,"2022-01-19","15m",4
"183",0.05,0.710419913419913,0.635907195245437,0.110819436010377,0.139159153922705,"2022-03-09","15-30m",0
"184",0.05,0.665551282051282,0.580576570228212,0.118591179122514,0.147434243991759,"2022-03-09","15-30m",3
"185",0.05,0.716416666666667,0.642123140203541,0.151596867308468,0.19278992967275,"2022-03-09","15m",0
"186",0.05,0.738678571428571,0.669465563231303,0.149965972514149,0.188482710926272,"2022-03-09","15m",2
"187",0.05,0.736690476190476,0.66734085593115,0.179548742946598,0.225158396924098,"2022-03-09","30m",0
"188",0.05,0.764420634920635,0.70249801856645,0.142252779156628,0.178912875324301,"2022-03-09","30m",2
"189",0.05,0.288079365079365,0.120076031654326,0.124257210356456,0.144062146724599,"2022-06-02","50m",0
"190",0.05,0.150888888888889,-0.048647303811209,0.15055386832556,0.187436847717075,"2022-06-02","50m",2
"191",0.05,0.761726190476191,0.699185757034908,0.183939545384014,0.232212444137859,"2022-03-22","50m",0
"192",0.05,0.854797619047619,0.816274363719199,0.128202851952556,0.161535534144138,"2022-03-22","50m",2
"193",0.05,0.663404761904762,0.579625231139234,0.130196297767127,0.159417292626905,"2022-04-19","50m",0
"194",0.05,0.495309523809524,0.370128302705989,0.18660215452013,0.229717139951989,"2022-04-19","50m",3
"195",0.05,0.708,0.631954201021928,0.125907694081569,0.155449522301956,"2022-04-05","50m",0
"196",0.05,0.688904761904762,0.606061509000438,0.139752928848099,0.175229842767987,"2022-04-05","50m",4
"197",0.05,0.229905830753354,0.0416505985639585,0.0889930446564478,0.108036556147801,"2022-05-26","15-30-50m",0
"198",0.05,0.308212719298246,0.135981687048205,0.116064796777498,0.144879036739914,"2022-05-26","15-30-50m",3
"199",0.05,0.304623015873016,0.140014322476366,0.153312987959904,0.189998434546852,"2022-05-26","50m",0
"200",0.05,0.189154761904762,-0.0026831511400701,0.129985377005209,0.161509162567086,"2022-05-26","50m",3
"201",0.05,0.18977380952381,0.0121983845041088,0.129763183930044,0.154271479161907,"2022-05-26","15m",0
"202",0.05,0.19781746031746,0.00539903896431957,0.127548368388259,0.157113441130803,"2022-05-26","15m",3
"203",0.05,0.227869047619048,0.0353541354201394,0.141994256972815,0.173900834426367,"2022-05-26","30m",0
"204",0.05,0.255583333333333,0.090358761085068,0.120447124345766,0.15011126578483,"2022-05-26","30m",3
"205",0.05,0.535235098235098,0.418572985551513,0.115619291818526,0.143861277820724,"2022-02-14","15-30m",0
