mincriterion,Accuracy_train,Kappa_train,AccuracySD_train,KappaSD_train,Accuracy_test,AccuracyPValue_test,Kappa_test,PC,date,alt,k,repetitions
0.05,0.289666667,0.100667924,0.147496505,0.19004638,0.25,0.818877354,0.12195122,3,26/05/2022,30m,10,10
0.05,0.557340909,0.438345702,0.147482318,0.185932517,0.5,0.067658779,0.407407407,0,14/02/2022,15-30m,10,10
0.05,0.453565657,0.312628343,0.134100342,0.165289142,0.458333333,0.140060596,0.338983051,3,14/02/2022,15-30m,10,10
0.05,0.602,0.498287482,0.18276281,0.225676818,0.666666667,0.018758432,0.567567568,0,14/02/2022,15m,10,10
0.05,0.551880952,0.427831207,0.182991565,0.233089134,0.583333333,0.06644764,0.444444444,3,14/02/2022,15m,10,10
0.05,0.455,0.308046045,0.169645104,0.218073194,0.5,0.054402232,0.404958678,0,14/02/2022,30m,10,10
0.05,0.359833333,0.19505599,0.163575629,0.201111384,0.416666667,0.157643676,0.282051282,3,14/02/2022,30m,10,10
0.05,0.394146465,0.240948395,0.157341401,0.198481,0.416666667,0.054664922,0.277419355,0,03/02/2022,15-30m,10,10
0.05,0.370810606,0.214138934,0.139474164,0.17271061,0.375,0.121318284,0.207048458,4,03/02/2022,15-30m,10,10
0.05,0.452,0.311336659,0.195793015,0.241252292,0.5,0.177722456,0.379310345,0,03/02/2022,30m,10,10
0.05,0.4185,0.262950396,0.169767369,0.209690876,0.333333333,0.606925322,0.20661157,4,03/02/2022,30m,10,10
0.05,0.431833333,0.280563675,0.197459951,0.250884481,0.583333333,0.014252782,0.459459459,0,03/02/2022,15m,10,10
0.05,0.364666667,0.194538714,0.160828383,0.215277369,0.583333333,0.014252782,0.469026549,3,03/02/2022,15m,10,10
0.05,0.417333333,0.263360358,0.186766448,0.233788428,0.5,0.177722456,0.379310345,0,03/05/2022,50m,10,10
0.05,0.326166667,0.156200455,0.206817787,0.251973911,0.333333333,0.606925322,0.193277311,3,03/05/2022,50m,10,10
0.05,0.393242424,0.231155812,0.112996362,0.14250619,0.125,0.995128938,-0.05,0,19/01/2022,15-30m,10,10
0.05,0.321414141,0.144873685,0.11870182,0.148592336,0.333333333,0.576195352,0.188160677,4,19/01/2022,15-30m,10,10
0.05,0.398785714,0.245686693,0.18332115,0.213584695,0.333333333,0.606925322,0.186440678,0,19/01/2022,30m,10,10
0.05,0.386714286,0.229509983,0.173126108,0.197727145,0.166666667,0.946048574,-0.052631579,4,19/01/2022,30m,10,10
0.05,0.308,0.124284588,0.151470162,0.180307452,0.333333333,0.606925322,0.219512195,0,19/01/2022,15m,10,10
0.05,0.383,0.228830365,0.150158539,0.182735278,0.416666667,0.368479286,0.222222222,4,19/01/2022,15m,10,10
0.05,0.650525253,0.562753975,0.12908428,0.160783215,0.666666667,0.000859483,0.582608696,0,09/03/2022,15-30m,10,10
0.05,0.688641414,0.608103441,0.130690624,0.163352733,0.75,3.60E-05,0.686956522,3,09/03/2022,15-30m,10,10
0.05,0.613166667,0.512867521,0.165641544,0.205635909,0.833333333,0.000543804,0.785714286,0,09/03/2022,15m,10,10
0.05,0.551333333,0.433499342,0.16525802,0.199133876,0.5,0.177722456,0.327102804,2,09/03/2022,15m,10,10
0.05,0.5735,0.458846154,0.120699769,0.157920505,0.75,0.003855555,0.678571429,0,09/03/2022,30m,10,10
0.05,0.6585,0.567692308,0.145479875,0.185745144,0.666666667,0.018758432,0.578947368,2,09/03/2022,30m,10,10
0.05,0.341333333,0.15560509,0.140475383,0.165123898,0.166666667,0.946048574,0.076923077,0,02/06/2022,50m,10,10
0.05,0.1815,-0.027024055,0.142801358,0.168745581,0.166666667,0.946048574,0.032258065,2,02/06/2022,50m,10,10
