mincriterion,Accuracy_train,Kappa_train,AccuracySD_train,KappaSD_train,Accuracy_test,AccuracyPValue_test,Kappa_test,PC,date,alt,k,repetitions
0.05,0.322082251,0.155965519,0.140288951,0.170382457,NA,NA,NA,0,19/01/2022,15-30m,10,10
0.05,0.308793207,0.136565427,0.128855115,0.157549933,NA,NA,NA,4,19/01/2022,15-30m,10,10
0.05,0.379571429,0.223022535,0.155582216,0.18713235,NA,NA,NA,0,19/01/2022,30m,10,10
0.05,0.367202381,0.211806082,0.187913053,0.22940417,NA,NA,NA,4,19/01/2022,30m,10,10
0.05,0.29490873,0.122412365,0.144987907,0.173965419,NA,NA,NA,0,19/01/2022,15m,10,10
0.05,0.42997619,0.283452509,0.190554366,0.237942214,NA,NA,NA,4,19/01/2022,15m,10,10
0.05,0.702712954,0.626388558,0.110890116,0.138354266,NA,NA,NA,0,09/03/2022,15-30m,10,10
0.05,0.659913753,0.573751991,0.11422518,0.143274944,NA,NA,NA,3,09/03/2022,15-30m,10,10
0.05,0.70897619,0.633577882,0.180367465,0.223807624,NA,NA,NA,0,09/03/2022,15m,10,10
0.05,0.712214286,0.637419297,0.160927577,0.20173547,NA,NA,NA,2,09/03/2022,15m,10,10
0.05,0.723253968,0.64936717,0.169868296,0.214149549,NA,NA,NA,0,09/03/2022,30m,10,10
0.05,0.764230159,0.70208134,0.158928458,0.200409341,NA,NA,NA,2,09/03/2022,30m,10,10
0.05,0.273305556,0.102159925,0.123086889,0.143790372,NA,NA,NA,0,02/06/2022,50m,10,10
0.05,0.14672619,-0.06392317,0.121178663,0.15219576,NA,NA,NA,2,02/06/2022,50m,10,10
0.05,0.755940476,0.690220998,0.165801584,0.208727804,NA,NA,NA,0,22/03/2022,50m,10,10
0.05,0.847861111,0.80741699,0.134891264,0.168809194,NA,NA,NA,2,22/03/2022,50m,10,10
0.05,0.655027778,0.571106035,0.132239245,0.160705727,NA,NA,NA,0,19/04/2022,50m,10,10
0.05,0.515464286,0.395820826,0.172029894,0.210267138,NA,NA,NA,3,19/04/2022,50m,10,10
0.05,0.716845238,0.64344612,0.122934779,0.150228262,NA,NA,NA,0,05/04/2022,50m,10,10
0.05,0.69440873,0.613205031,0.143610506,0.178102308,NA,NA,NA,4,05/04/2022,50m,10,10
0.05,0.248203173,0.062974366,0.096496864,0.118155903,NA,NA,NA,0,26/05/2022,15-30-50m,10,10
0.05,0.268807663,0.087419264,0.097714693,0.121588299,NA,NA,NA,3,26/05/2022,15-30-50m,10,10
0.05,0.332952381,0.173011697,0.160955352,0.198452263,NA,NA,NA,0,26/05/2022,50m,10,10
0.05,0.184416667,-0.00522424,0.133321425,0.158158486,NA,NA,NA,3,26/05/2022,50m,10,10
0.05,0.179583333,0.000562703,0.074740895,0.088829685,NA,NA,NA,0,26/05/2022,15m,10,10
0.05,0.211083333,0.023518735,0.129016552,0.156815219,NA,NA,NA,3,26/05/2022,15m,10,10
0.05,0.216797619,0.028877047,0.134321829,0.166693982,NA,NA,NA,0,26/05/2022,30m,10,10
0.05,0.273369048,0.110524853,0.118176303,0.143180392,NA,NA,NA,3,26/05/2022,30m,10,10
0.05,0.556988012,0.444604274,0.143071016,0.178002076,NA,NA,NA,0,14/02/2022,15-30m,10,10
0.05,0.440038129,0.300718818,0.123750121,0.152103899,NA,NA,NA,3,14/02/2022,15-30m,10,10
0.05,0.700420635,0.620539642,0.15233726,0.191206472,NA,NA,NA,0,14/02/2022,15m,10,10
0.05,0.554047619,0.440937355,0.156944319,0.192943568,NA,NA,NA,3,14/02/2022,15m,10,10
0.05,0.509190476,0.384923822,0.160934912,0.198342084,NA,NA,NA,0,14/02/2022,30m,10,10
0.05,0.389488095,0.235579829,0.144363258,0.175374713,NA,NA,NA,3,14/02/2022,30m,10,10
