"","mincriterion","Accuracy","Kappa","AccuracySD","KappaSD","date","alt","PC","k","repetitions"
"165",0.05,0.747095238095238,0.679991852601033,0.100707732864533,0.124742489157724,"2022-04-05","50m",0,10,10
"166",0.05,0.702293650793651,0.625294982997972,0.159035776610112,0.197169050089443,"2022-04-05","50m",4,10,10
"167",0.05,0.458,0.325611764713256,0.14663144633114,0.174221882588863,"2022-05-03","50m",0,10,10
"168",0.05,0.283952380952381,0.10728047182386,0.136283171782866,0.169481053960424,"2022-05-03","50m",3,10,10
"169",0.05,0.68977380952381,0.611331510753668,0.163537246922645,0.201165078226963,"2022-02-14","15m",0,10,10
"170",0.05,0.55127380952381,0.438474015039798,0.143916054527696,0.17533957882862,"2022-02-14","15m",3,10,10
"171",0.05,0.489269841269841,0.367047953527431,0.139722377330333,0.164663162700786,"2022-02-14","30m",0,10,10
"172",0.05,0.396107142857143,0.242665187792653,0.154807209763423,0.192028238946907,"2022-02-14","30m",3,10,10
"173",0.05,0.523646825396825,0.403613459063067,0.144949581785139,0.176946458295967,"2022-02-14","15-30m",0,10,10
"174",0.05,0.396107142857143,0.242665187792653,0.154807209763423,0.192028238946907,"2022-02-14","15-30m",4,10,10
"175",0.05,0.3355,0.178818057264108,0.117438180414664,0.13492632506495,"2022-01-19","30m",0,10,10
"176",0.05,0.364730158730159,0.209078846419558,0.173439065030714,0.212400613685269,"2022-01-19","30m",4,10,10
"177",0.05,0.332797619047619,0.169842467352689,0.11710345821545,0.129755079668112,"2022-01-19","15m",0,10,10
"178",0.05,0.421,0.277874857012678,0.173765414421804,0.20782425656285,"2022-01-19","15m",4,10,10
"179",0.05,0.336178571428571,0.164126190930422,0.160120345778652,0.200101091799172,"2022-01-19","15-30m",0,10,10
"180",0.05,0.421,0.277874857012678,0.173765414421804,0.20782425656285,"2022-01-19","15-30m",6,10,10
"181",0.05,0.529619047619048,0.412669180945767,0.151170948961097,0.185028783232283,"2022-02-03","15m",0,10,10
"182",0.05,0.517654761904762,0.394833370264565,0.18240506164297,0.226531838097258,"2022-02-03","15m",3,10,10
"183",0.05,0.445821428571429,0.307151288915536,0.164032426949257,0.197615957587569,"2022-02-03","30m",0,10,10
"184",0.05,0.332023809523809,0.168039388019384,0.179403185559996,0.215324410835156,"2022-02-03","30m",4,10,10
"185",0.05,0.410583333333333,0.26439589899272,0.185214490011074,0.223977584113706,"2022-02-03","15-30m",0,10,10
