"","mtry","date","alt","PC","OOB","X35","X70","X140","X280","X560","Accuracy_test","AccuracyPValue_test","Kappa_test","split"
"365",4,"22/03/2022","50m",0,0.166666667,0.222222222,0,0.090909091,0.375,0.125,0.944444444,9.55e-08,0.926829268,"7030split"
"366",4,"22/03/2022","50m",0,0.142857143,0.142857143,0.142857143,0.111111111,0.090909091,0.25,0.833333333,1.5e-06,0.787401575,"7030split"
"367",4,"22/03/2022","50m",0,0.095238095,0.125,0,0.090909091,0.166666667,0.166666667,0.833333333,1.85e-05,0.769230769,"7030split"
"368",4,"22/03/2022","50m",0,0.095238095,0,0,0.1,0.142857143,0.222222222,0.777777778,1.51e-05,0.71875,"7030split"
"369",4,"22/03/2022","50m",0,0.095238095,0.090909091,0,0.166666667,0.125,0.111111111,0.888888889,1.68e-06,0.85483871,"7030split"
"370",4,"22/03/2022","50m",0,0.119047619,0.090909091,0,0.166666667,0.166666667,0.285714286,0.888888889,1.68e-06,0.840707965,"7030split"
"371",4,"05/04/2022","50m",0,0.19047619,0,0,0,0.714285714,0.375,0.611111111,0.003147863,0.519083969,"7030split"
"372",4,"05/04/2022","50m",0,0.261904762,0,0,0.4,0.625,0.363636364,0.888888889,1.68e-05,0.846153846,"7030split"
"373",4,"05/04/2022","50m",0,0.19047619,0,0,0,0.666666667,0.444444444,0.777777778,0.000144899,0.71875,"7030split"
"374",4,"05/04/2022","50m",0,0.238095238,0,0,0.111111111,0.444444444,0.625,0.777777778,1.51e-05,0.71875,"7030split"
"375",4,"05/04/2022","50m",0,0.261904762,0,0,0.111111111,0.5,0.833333333,0.833333333,1.85e-05,0.79389313,"7030split"
"376",4,"05/04/2022","50m",0,0.261904762,0,0,0,0.6,0.555555556,0.833333333,1.5e-06,0.786561265,"7030split"
"377",4,"05/04/2022","50m",0,0.166666667,0,0,0.111111111,0.428571429,0.375,0.666666667,0.000669739,0.583011583,"7030split"
"378",4,"05/04/2022","50m",0,0.214285714,0,0,0,0.444444444,0.625,0.833333333,1.5e-06,0.789883268,"7030split"
"379",4,"05/04/2022","50m",0,0.166666667,0,0,0.166666667,0.3,0.3,0.944444444,9.55e-08,0.927419355,"7030split"
"380",4,"05/04/2022","50m",0,0.19047619,0,0,0,0.375,0.625,0.722222222,0.000113749,0.645669291,"7030split"
"381",4,"19/04/2022","50m",0,0.238095238,0,0.1,0.142857143,0.5,0.571428571,0.722222222,0.000113749,0.64,"7030split"
"382",4,"19/04/2022","50m",0,0.357142857,0,0.125,0.142857143,0.777777778,0.666666667,0.944444444,4.63e-09,0.9296875,"7030split"
"383",4,"19/04/2022","50m",0,0.214285714,0,0,0.25,0.333333333,0.5,0.722222222,8.73e-06,0.651162791,"7030split"
"384",4,"19/04/2022","50m",0,0.523809524,0.1,0.333333333,0.714285714,0.777777778,0.7,0.722222222,0.000852596,0.642857143,"7030split"
"385",4,"19/04/2022","50m",0,0.30952381,0.111111111,0.166666667,0.1,0.444444444,0.75,0.611111111,0.014433622,0.519083969,"7030split"
"386",4,"19/04/2022","50m",0,0.357142857,0,0.285714286,0.142857143,0.363636364,1,0.666666667,0.000669739,0.586206897,"7030split"
"387",4,"19/04/2022","50m",0,0.404761905,0.125,0.333333333,0.428571429,1,0.272727273,0.777777778,1.51e-05,0.71875,"7030split"
"388",4,"19/04/2022","50m",0,0.380952381,0.111111111,0.111111111,0.285714286,0.5,1,0.611111111,0.003147863,0.528089888,"7030split"
"389",4,"19/04/2022","50m",0,0.380952381,0,0.5,0.222222222,0.875,0.444444444,0.722222222,0.000852596,0.647058824,"7030split"
"390",4,"19/04/2022","50m",0,0.238095238,0,0.222222222,0,0.571428571,0.571428571,0.555555556,0.01200716,0.435294118,"7030split"
"391",4,"03/05/2022","50m",0,0.619047619,0.333333333,0.777777778,0.75,0.555555556,0.714285714,0.444444444,0.097489527,0.305019305,"7030split"
"392",4,"03/05/2022","50m",0,0.571428571,0.5,0.2,0.571428571,0.888888889,0.75,0.444444444,0.097489527,0.302325581,"7030split"
"393",4,"03/05/2022","50m",0,0.642857143,0.25,1,0.625,0.636363636,0.75,0.5,0.037600683,0.376923077,"7030split"
"394",4,"03/05/2022","50m",0,0.595238095,0.142857143,0.75,0.625,0.714285714,0.666666667,0.333333333,0.382487831,0.20295203,"7030split"
"395",4,"03/05/2022","50m",0,0.571428571,0.25,0.625,0.7,1,0.4,0.222222222,0.898334917,0.066666667,"7030split"
"396",4,"03/05/2022","50m",0,0.357142857,0.125,0.444444444,0.333333333,0.571428571,0.333333333,0.277777778,0.588592566,0.123595506,"7030split"
"397",4,"03/05/2022","50m",0,0.428571429,0.111111111,0.571428571,0.5,0.571428571,0.444444444,0.277777778,0.588592566,0.096525097,"7030split"
"398",4,"03/05/2022","50m",0,0.619047619,0.142857143,0.571428571,0.857142857,0.583333333,0.888888889,0.333333333,0.382487831,0.162790698,"7030split"
"399",4,"03/05/2022","50m",0,0.666666667,0.444444444,0.666666667,0.444444444,0.875,1,0.444444444,0.097489527,0.318181818,"7030split"
"400",4,"03/05/2022","50m",0,0.523809524,0.25,0.636363636,0.75,0.5,0.555555556,0.222222222,0.98650164,0.086956522,"7030split"
